event_type,simulation_time,message_id,pair_id,direction,source_user_id,target_user_id,source_access_satellite_id,target_access_satellite_id,delay_ms,hop_count,path_length,path_satellite_ids,note
arrival,6.300,case3-80-180-0,80,A_to_B,80,180,,359,63.837,6,8,234 259 284 309 334 359,
arrival,6.300,case3-128-28-0,28,B_to_A,128,28,,234,63.678,6,8,359 334 309 284 259 234,
arrival,6.300,case3-26-126-0,26,A_to_B,26,126,,383,61.423,7,9,353 354 355 356 357 382 383,
arrival,6.300,case3-25-125-0,25,A_to_B,25,125,,383,83.199,8,10,234 259 284 309 334 359 384 383,
arrival,6.300,case3-29-129-0,29,A_to_B,29,129,,383,83.135,8,10,234 259 284 309 334 359 384 383,
arrival,6.300,case3-77-177-0,77,A_to_B,77,177,,383,83.272,8,10,234 259 284 309 334 359 384 383,
arrival,6.300,case3-81-181-0,81,A_to_B,81,181,,383,83.227,8,10,234 259 284 309 334 359 384 383,
arrival,6.300,case3-30-130-0,30,A_to_B,30,130,,79,65.853,7,9,353 378 3 28 53 78 79,
arrival,6.300,case3-78-178-0,78,A_to_B,78,178,,79,66.035,7,9,353 378 3 28 53 78 79,
arrival,6.300,case3-126-26-0,26,B_to_A,126,26,,353,61.151,7,9,383 382 381 380 379 354 353,
arrival,6.300,case3-130-30-0,30,B_to_A,130,30,,353,60.569,7,9,79 54 29 4 379 354 353,
arrival,6.300,case3-125-25-0,25,B_to_A,125,25,,234,77.693,8,10,383 358 333 308 283 258 233 234,
arrival,6.300,case3-129-29-0,29,B_to_A,129,29,,234,77.629,8,10,383 358 333 308 283 258 233 234,
arrival,6.300,case3-180-80-0,80,B_to_A,180,80,,234,63.834,6,8,359 334 309 284 259 234,
arrival,6.300,case3-178-78-0,78,B_to_A,178,78,,353,60.750,7,9,79 54 29 4 379 354 353,
arrival,6.300,case3-177-77-0,77,B_to_A,177,77,,234,77.762,8,10,383 358 333 308 283 258 233 234,
arrival,6.300,case3-181-81-0,81,B_to_A,181,81,,234,77.716,8,10,383 358 333 308 283 258 233 234,
arrival,6.300,case3-27-127-0,27,A_to_B,27,127,,103,104.165,12,14,234 233 208 207 182 181 156 155 130 129 104 103,
arrival,6.300,case3-31-131-0,31,A_to_B,31,131,,103,104.349,12,14,234 233 208 207 182 181 156 155 130 129 104 103,
arrival,6.300,case3-75-175-0,75,A_to_B,75,175,,103,104.377,12,14,234 233 208 207 182 181 156 155 130 129 104 103,
arrival,6.300,case3-79-179-0,79,A_to_B,79,179,,103,104.508,12,14,234 233 208 207 182 181 156 155 130 129 104 103,
arrival,6.300,case3-127-27-0,27,B_to_A,127,27,,234,104.164,12,14,103 104 129 130 155 156 181 182 207 208 233 234,
arrival,6.300,case3-131-31-0,31,B_to_A,131,31,,234,104.348,12,14,103 104 129 130 155 156 181 182 207 208 233 234,
arrival,6.300,case3-179-79-0,79,B_to_A,179,79,,234,104.503,12,14,103 104 129 130 155 156 181 182 207 208 233 234,
generate,6.450,case3-32-132-0,32,A_to_B,32,132,234,359,,,,,
generate,6.450,case3-33-133-0,33,A_to_B,33,133,234,383,,,,,
generate,6.450,case3-34-134-0,34,A_to_B,34,134,353,79,,,,,
generate,6.450,case3-35-135-0,35,A_to_B,35,135,234,103,,,,,
generate,6.450,case3-36-136-0,36,A_to_B,36,136,234,359,,,,,
generate,6.450,case3-82-182-0,82,A_to_B,82,182,353,383,,,,,
generate,6.450,case3-83-183-0,83,A_to_B,83,183,234,103,,,,,
generate,6.450,case3-84-184-0,84,A_to_B,84,184,234,359,,,,,
generate,6.450,case3-85-185-0,85,A_to_B,85,185,353,383,,,,,
generate,6.450,case3-86-186-0,86,A_to_B,86,186,353,383,,,,,
generate,6.450,case3-132-32-0,32,B_to_A,132,32,359,234,,,,,
generate,6.450,case3-133-33-0,33,B_to_A,133,33,383,234,,,,,
generate,6.450,case3-134-34-0,34,B_to_A,134,34,79,353,,,,,
generate,6.450,case3-135-35-0,35,B_to_A,135,35,103,234,,,,,
generate,6.450,case3-136-36-0,36,B_to_A,136,36,359,234,,,,,
arrival,6.450,case3-32-132-0,32,A_to_B,32,132,,359,63.724,6,8,234 259 284 309 334 359,
arrival,6.450,case3-36-136-0,36,A_to_B,36,136,,359,63.800,6,8,234 259 284 309 334 359,
arrival,6.450,case3-34-134-0,34,A_to_B,34,134,,79,65.818,7,9,353 378 3 28 53 78 79,
arrival,6.450,case3-33-133-0,33,A_to_B,33,133,,383,83.068,8,10,234 259 284 309 334 359 384 383,
arrival,6.500,case3-132-32-0,32,B_to_A,132,32,,234,63.724,6,8,359 334 309 284 259 234,
arrival,6.500,case3-136-36-0,36,B_to_A,136,36,,234,63.800,6,8,359 334 309 284 259 234,
generate,6.500,case3-182-82-0,82,B_to_A,182,82,383,353,,,,,
generate,6.500,case3-183-83-0,83,B_to_A,183,83,103,234,,,,,
generate,6.500,case3-184-84-0,84,B_to_A,184,84,359,234,,,,,
generate,6.500,case3-185-85-0,85,B_to_A,185,85,383,353,,,,,
generate,6.500,case3-186-86-0,86,B_to_A,186,86,383,353,,,,,
generate,6.500,case3-187-87-0,87,B_to_A,187,87,103,234,,,,,
arrival,6.500,case3-84-184-0,84,A_to_B,84,184,,359,63.684,6,8,234 259 284 309 334 359,
arrival,6.550,case3-35-135-0,35,A_to_B,35,135,,103,104.164,12,14,234 233 208 207 182 181 156 155 130 129 104 103,
arrival,6.550,case3-82-182-0,82,A_to_B,82,182,,383,61.309,7,9,353 354 355 356 357 382 383,
arrival,6.550,case3-85-185-0,85,A_to_B,85,185,,383,61.272,7,9,353 354 355 356 357 382 383,
arrival,6.550,case3-86-186-0,86,A_to_B,86,186,,383,61.132,7,9,353 354 355 356 357 382 383,
